rank,book,page,image_path,scripts,layout_type,chant_rows,lyric_rows,voice_ratio,multi_voice?,n_classes,cumulative_classes
29,Mass,477,data/pages_full/Mass/page_0477.png,Greek+Latin,dense_multi_row,7,7,1.0,,31,72
30,Mass,391,data/pages_full/Mass/page_0391.png,Arabic+Greek,dense_multi_row,6,4,1.5,,34,72
31,Mass,74,data/pages_full/Mass/page_0074.png,Greek+Latin,dense_multi_row,6,6,1.0,,29,72
32,Mass,10,data/pages_full/Mass/page_0010.png,Arabic+Greek,dense_multi_row,7,7,1.0,,30,72
33,Mass,464,data/pages_full/Mass/page_0464.png,Arabic+Latin,dense_multi_row,7,7,1.0,,36,72
34,Mass,435,data/pages_full/Mass/page_0435.png,Arabic+Greek,dense_multi_row,7,6,1.17,,31,72
35,Mass,104,data/pages_full/Mass/page_0104.png,Arabic+Greek,dense_multi_row,6,6,1.0,,30,72
36,Mass,492,data/pages_full/Mass/page_0492.png,Arabic+Latin,dense_multi_row,8,6,1.33,,28,72
37,Mass,493,data/pages_full/Mass/page_0493.png,Arabic+Greek,dense_multi_row,6,6,1.0,,27,72
38,Mass,419,data/pages_full/Mass/page_0419.png,Greek+Latin,dense_multi_row,6,6,1.0,,33,72
39,Mass,139,data/pages_full/Mass/page_0139.png,Arabic+Greek+Latin,dense_multi_row,7,7,1.0,,28,72
40,Mass,162,data/pages_full/Mass/page_0162.png,Arabic+Latin,dense_multi_row,8,8,1.0,,29,72
41,Mass,83,data/pages_full/Mass/page_0083.png,Greek+Latin,dense_multi_row,4,4,1.0,,34,72
42,Mass,163,data/pages_full/Mass/page_0163.png,Arabic+Greek,dense_multi_row,8,8,1.0,,29,72
43,Mass,180,data/pages_full/Mass/page_0180.png,Arabic+Greek,dense_multi_row,7,7,1.0,,31,72
44,Mass,146,data/pages_full/Mass/page_0146.png,Arabic+Greek,dense_multi_row,6,6,1.0,,32,72
45,Mass,165,data/pages_full/Mass/page_0165.png,Arabic+Greek,dense_multi_row,9,8,1.12,,32,72
46,Holy Week,274,data/pages_full/Holy Week/page_0274.png,Arabic+Greek+Latin,dense_multi_row,4,4,1.0,,21,72
47,Holy Week,207,data/pages_full/Holy Week/page_0207.png,Arabic+Latin,dense_multi_row,4,4,1.0,,23,72
48,Holy Week,237,data/pages_full/Holy Week/page_0237.png,Arabic+Latin,dense_multi_row,9,9,1.0,,23,72
49,Holy Week,236,data/pages_full/Holy Week/page_0236.png,Arabic+Latin,dense_multi_row,6,6,1.0,,21,72
50,Holy Week,324,data/pages_full/Holy Week/page_0324.png,Arabic+Greek,dense_multi_row,6,6,1.0,,26,72
